id,name,acronym,graph_id,rgb_triplet,structure_id_path,structure_set_ids
997,"root,root",['root'],1,"[255, 255, 255]",[997],[691663206]
8,"Basic cell groups and regions,grey",['grey'],1,"[191, 218, 227]","[997, 8]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]"
567,"Cerebrum,CH",['CH'],1,"[176, 240, 255]","[997, 8, 567]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]"
688,"Cerebral cortex,CTX",['CTX'],1,"[176, 255, 184]","[997, 8, 567, 688]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]"
695,"Cortical plate,CTXpl",['CTXpl'],1,"[112, 255, 112]","[997, 8, 567, 688, 695]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]"
315,"Isocortex,Isocortex",['Isocortex'],1,"[112, 255, 113]","[997, 8, 567, 688, 695, 315]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]"
184,"Frontal pole, cerebral cortex,FRP","['cerebral cortex', 'FRP']",1,"[38, 143, 69]","[997, 8, 567, 688, 695, 315, 184]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891]"
68,"Frontal pole, layer 1,FRP1","['layer 1', 'FRP1']",1,"[38, 143, 69]","[997, 8, 567, 688, 695, 315, 184, 68]","[667481440, 184527634, 12, 691663206]"
667,"Frontal pole, layer 2/3,FRP2/3","['layer 2/3', 'FRP2/3']",1,"[38, 143, 69]","[997, 8, 567, 688, 695, 315, 184, 667]","[667481441, 184527634, 12, 691663206]"
526157192,"Frontal pole, layer 5,FRP5","['layer 5', 'FRP5']",1,"[38, 143, 69]","[997, 8, 567, 688, 695, 315, 184, 526157192]","[184527634, 667481446, 691663206]"
526157196,"Frontal pole, layer 6a,FRP6a","['layer 6a', 'FRP6a']",1,"[38, 143, 69]","[997, 8, 567, 688, 695, 315, 184, 526157196]","[667481449, 184527634, 691663206]"
526322264,"Frontal pole, layer 6b,FRP6b","['layer 6b', 'FRP6b']",1,"[38, 143, 69]","[997, 8, 567, 688, 695, 315, 184, 526322264]","[667481450, 184527634, 691663206]"
500,"Somatomotor areas,MO",['MO'],1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]"
107,"Somatomotor areas, Layer 1,MO1","['Layer 1', 'MO1']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 107]",[]
219,"Somatomotor areas, Layer 2/3,MO2/3","['Layer 2/3', 'MO2/3']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 219]",[]
299,"Somatomotor areas, Layer 5,MO5","['Layer 5', 'MO5']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 299]",[]
644,"Somatomotor areas, Layer 6a,MO6a","['Layer 6a', 'MO6a']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 644]",[]
947,"Somatomotor areas, Layer 6b,MO6b","['Layer 6b', 'MO6b']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 947]",[]
985,"Primary motor area,MOp",['MOp'],1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 985]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891, 114512892]"
320,"Primary motor area, Layer 1,MOp1","['Layer 1', 'MOp1']",1,"[31, 157, 90]","[997, 8, 567, 688, 695, 315, 500, 985, 320]","[667481440, 184527634, 12, 691663206]"
